#-------------------------------------------------------------------------------------------------------------------------------#-----------------------------
#Wavelength (microns) - Emerging intensity spetrum (erg/s/cm2/sr/micron)
#Wavelength (microns)          HII (data)         Atomic (data)      Atomic (PDR code)    Molecular (PDR code)
# wave hii_data atomic_data atomic_pdr mol_pdr
             4.68000         0.00000e+00         0.00000e+00         1.69078e-11         8.90007e-09
             4.68100         0.00000e+00         0.00000e+00         8.79249e-12         1.16750e-06
             4.68200         0.00000e+00         0.00000e+00         1.18585e-10         1.57472e-05
             4.68300         0.00000e+00         0.00000e+00         1.64307e-10         2.18187e-05
             4.68400         0.00000e+00         0.00000e+00         2.33864e-11         3.10553e-06
             4.68500         0.00000e+00         0.00000e+00         3.41067e-13         4.52911e-08
             4.68600         0.00000e+00         0.00000e+00         5.11727e-16         6.79534e-11
             4.68700         0.00000e+00         0.00000e+00         4.59768e-19         4.51257e-14
             4.68800         0.00000e+00         0.00000e+00         1.85214e-15         1.68499e-10
             4.68900         0.00000e+00         0.00000e+00         9.32925e-13         8.48723e-08
             4.69000         0.00000e+00         0.00000e+00         4.94050e-11         4.42829e-06
             4.69100         0.00000e+00         0.00000e+00         6.92449e-09         2.39375e-05
             4.69200         0.00000e+00         0.00000e+00         6.34101e-06         1.71544e-05
             4.69300         0.00000e+00         0.00000e+00         6.24818e-04         3.71875e-04
             4.69400         0.00000e+00         0.00000e+00         6.39791e-03         3.79993e-03
             4.69500         0.00000e+00         0.00000e+00         6.80770e-03         4.04331e-03
             4.69600         0.00000e+00         0.00000e+00         7.52735e-04         4.47073e-04
             4.69700         0.00000e+00         0.00000e+00         8.64893e-06         5.13781e-06
             4.69800         0.00000e+00         0.00000e+00         1.02930e-08         2.44139e-07
             4.69900         0.00000e+00         0.00000e+00         1.34065e-10         6.31669e-06
             4.70000         0.00000e+00         0.00000e+00         3.68105e-10         1.75104e-05
             4.70100         0.00000e+00         0.00000e+00         1.06592e-10         5.07050e-06
             4.70200         0.00000e+00         0.00000e+00         3.22424e-12         1.53374e-07
             4.70300         0.00000e+00         0.00000e+00         1.01877e-14         4.84618e-10
             4.70400         0.00000e+00         0.00000e+00         3.36609e-18         1.60023e-13
             4.70500         0.00000e+00         0.00000e+00         5.26320e-17         1.03390e-12
             4.70600         0.00000e+00         0.00000e+00         8.20681e-14         1.61213e-09
             4.70700         0.00000e+00         0.00000e+00         1.34808e-11         2.64815e-07
             4.70800         0.00000e+00         0.00000e+00         2.33279e-10         4.58249e-06
             4.70900         0.00000e+00         0.00000e+00         4.25256e-10         8.35366e-06
             4.71000         0.00000e+00         0.00000e+00         8.16662e-11         1.60424e-06
             4.71100         0.00000e+00         0.00000e+00         1.64820e-12         3.23770e-08
             4.71200         0.00000e+00         0.00000e+00         3.50889e-15         6.89281e-11
             4.71300         0.00000e+00         0.00000e+00         7.97068e-19         1.55303e-14
             4.71400         0.00000e+00         0.00000e+00         1.22266e-16         8.65323e-13
             4.71500         0.00000e+00         0.00000e+00         1.56937e-13         1.11070e-09
             4.71600         0.00000e+00         0.00000e+00         2.14021e-11         1.51471e-07
             4.71700         0.00000e+00         0.00000e+00         3.10099e-10         2.19470e-06
             4.71800         0.00000e+00         0.00000e+00         4.77213e-10         3.37743e-06
             4.71900         0.00000e+00         0.00000e+00         7.79676e-11         5.51808e-07
             4.72000         0.00000e+00         0.00000e+00         1.35341e-12         9.57860e-09
             4.72100         0.00000e+00         0.00000e+00         2.49605e-15         1.76655e-11
             4.72200         0.00000e+00         0.00000e+00         4.97779e-19         3.46687e-15
             4.72300         0.00000e+00         0.00000e+00         1.09804e-16         6.80443e-14
             4.72400         0.00000e+00         0.00000e+00         1.49135e-13         9.24175e-11
             4.72500         0.00000e+00         0.00000e+00         2.16196e-11         1.33975e-08
             4.72600         0.00000e+00         0.00000e+00         3.35852e-10         2.08125e-07
             4.72700         0.00000e+00         0.00000e+00         5.59087e-10         3.46461e-07
             4.72800         0.00000e+00         0.00000e+00         9.97334e-11         6.18038e-08
             4.72900         0.00000e+00         0.00000e+00         1.90648e-12         1.18143e-09
             4.73000         0.00000e+00         0.00000e+00         3.90531e-15         2.42008e-12
             4.73100         0.00000e+00         0.00000e+00         8.55643e-19         5.29003e-16
